name,layers,n_recursions,T_cycles,test_acc,train_acc,params_M,gen_gap
"Baseline (2L, n=4)",2,4,2,0.11228395061728395,0.1174074074074074,1.162507,0.005123456790123451
"1 Layer, n=4",1,4,2,0.11382716049382716,0.11841975308641975,1.162507,0.0045925925925925926
"4 Layers, n=4",4,4,2,0.11358024691358025,0.11575308641975308,1.162507,0.0021728395061728356
"2 Layers, n=2",2,2,2,0.11419753086419752,0.11795061728395062,1.162507,0.003753086419753096
"2 Layers, n=6",2,6,2,0.11524691358024691,0.11765432098765433,1.162507,0.0024074074074074137
